ID,Provinsi,KodeKabKot,Y,X1,X2,X3,X4,X5,X6,Z1,Z2,Z3,Z4
1,11,1101,0,1,27,0,0,1,1,1.077,15.075,26.919,390.869
2,11,1101,0,1,38,0,0,1,0,1.077,15.075,26.919,390.869
4,11,1101,0,0,36,0,0,0,1,1.077,15.075,26.919,390.869
7,11,1101,0,0,27,0,0,1,1,1.077,15.075,26.919,390.869
8,11,1101,0,1,36,1,0,0,0,1.077,15.075,26.919,390.869
9,11,1101,1,1,20,0,1,1,0,1.077,15.075,26.919,390.869
11,11,1101,0,1,27,0,1,1,1,1.077,15.075,26.919,390.869
12,11,1101,0,0,36,1,0,1,1,1.077,15.075,26.919,390.869
13,11,1101,0,0,33,1,0,1,1,1.077,15.075,26.919,390.869
14,11,1101,0,1,23,1,0,1,1,1.077,15.075,26.919,390.869
15,11,1101,0,1,32,1,0,1,0,1.077,15.075,26.919,390.869
16,11,1101,0,1,21,1,0,1,1,1.077,15.075,26.919,390.869
18,11,1101,0,0,26,1,0,1,1,1.077,15.075,26.919,390.869
21,11,1101,0,1,19,0,0,1,1,1.077,15.075,26.919,390.869
22,11,1101,0,1,41,1,0,1,1,1.077,15.075,26.919,390.869
23,11,1101,1,1,36,0,0,1,0,1.077,15.075,26.919,390.869
24,11,1101,0,1,36,0,0,1,1,1.077,15.075,26.919,390.869
25,11,1101,0,1,25,1,0,1,1,1.077,15.075,26.919,390.869
26,11,1101,0,1,33,1,0,1,0,1.077,15.075,26.919,390.869
27,11,1101,1,1,34,0,0,1,0,1.077,15.075,26.919,390.869
28,11,1101,0,1,32,1,1,1,1,1.077,15.075,26.919,390.869
29,11,1101,0,0,44,1,1,0,1,1.077,15.075,26.919,390.869
30,11,1101,0,0,32,1,1,1,1,1.077,15.075,26.919,390.869
31,11,1101,1,1,29,1,1,1,1,1.077,15.075,26.919,390.869
33,11,1101,0,1,41,0,0,1,1,1.077,15.075,26.919,390.869
34,11,1101,1,1,27,1,1,1,1,1.077,15.075,26.919,390.869
35,11,1101,1,1,30,1,0,1,0,1.077,15.075,26.919,390.869
36,11,1101,0,1,25,0,1,1,0,1.077,15.075,26.919,390.869
37,11,1102,0,1,33,1,0,1,1,0.79,9.485,34.78,271.125
38,11,1102,0,1,28,0,0,0,0,0.79,9.485,34.78,271.125
39,11,1102,1,0,23,1,0,0,1,0.79,9.485,34.78,271.125
40,11,1102,1,1,23,1,0,1,1,0.79,9.485,34.78,271.125
41,11,1102,1,1,30,1,1,1,1,0.79,9.485,34.78,271.125
43,11,1102,0,0,24,1,0,0,1,0.79,9.485,34.78,271.125
47,11,1102,0,1,25,0,0,1,0,0.79,9.485,34.78,271.125
49,11,1102,0,1,34,1,1,1,1,0.79,9.485,34.78,271.125
50,11,1102,0,1,31,0,0,1,1,0.79,9.485,34.78,271.125
54,11,1102,0,1,25,1,0,1,1,0.79,9.485,34.78,271.125
56,11,1102,1,1,29,0,0,1,1,0.79,9.485,34.78,271.125
57,11,1102,0,1,30,1,0,1,1,0.79,9.485,34.78,271.125
58,11,1102,0,1,31,0,0,0,1,0.79,9.485,34.78,271.125
59,11,1102,0,0,29,1,1,1,1,0.79,9.485,34.78,271.125
61,11,1102,0,1,38,0,0,1,1,0.79,9.485,34.78,271.125
